msoa,mode,time,area_m2,area_deg2
E02001024,CAR,15minutes,203294551.4192842,0.005222094999999986
E02001025,CAR,15minutes,212572224.15723467,0.005463679999999982
E02001026,CAR,15minutes,319933826.0254632,0.008226949999999865
E02001027,CAR,15minutes,152449705.5515346,0.003918120000000035
E02001028,CAR,15minutes,130454858.36796524,0.0033540999999999497
E02001029,CAR,15minutes,154998767.1213823,0.0039853949999999775
E02001030,CAR,15minutes,167951956.602516,0.004320229999999992
E02001031,CAR,15minutes,126421178.2768572,0.003252530000000018
E02001032,CAR,15minutes,130915805.19927682,0.003369209999999949
E02001033,CAR,15minutes,111206596.69093126,0.0028619899999999887
E02001034,CAR,15minutes,116925059.32146257,0.0030099700000000063
E02001035,CAR,15minutes,129890284.64350754,0.0033445499999999826
E02001036,CAR,15minutes,104445638.6592396,0.0026906349999999504
E02001037,CAR,15minutes,188162749.5452107,0.004846734999999954
E02001038,CAR,15minutes,355052703.47485745,0.00914587000000002
E02001039,CAR,15minutes,213007538.49322948,0.005487550000000001
E02001040,CAR,15minutes,244440036.80534002,0.006298375000000063
E02001041,CAR,15minutes,190514211.06973767,0.004911890000000005
